#,Country,First Name,Last Name ,Last,UID,Matches,Minutes,km,m/min,poss,no poss,speed,low,med,high
86,CHI ,Mauricio,ISLA,ISLA,ISLACHI ,4,332,38.63,116.4,15.43,14.4,26.7,184,22,26
146,CHI ,Gonzalo,JARA,JARA,JARACHI ,4,308,33.51,108.8,13.01,13.06,22.49,171,19,20
226,CHI ,Gary,MEDEL,MEDE,MEDECHI ,3,270,26.9,99.6,10.51,10.15,22.52,150,14,14
213,CHI ,Waldo,PONCE,PONC,PONCCHI ,3,270,27.37,101.4,10.68,10.22,23.65,152,13,15
184,CHI ,Alexis,SANCHEZ,SANC,SANCCHI ,4,335,35.15,104.9,14.36,12.26,29.05,185,18,20
174,CHI ,Jorge,VALDIVIA,VALD,VALDCHI ,4,221,23.38,105.8,9.96,8.27,25.37,118,11,16
183,CHI ,Arturo,VIDAL,VIDA,VIDACHI ,4,307,32.23,105,11.78,13.12,22.75,160,17,21
214,DEN ,Daniel,AGGER,AGGE,AGGEDEN ,3,270,27.35,101.3,9.52,11.18,26.35,168,13,14
235,DEN ,Nicklas,BENDTNER,BEND,BENDDEN ,3,242,23.47,97,9.63,8.13,26.98,154,12,12
189,DEN ,Lars,JACOBSEN,JACO,JACODEN ,3,270,28.18,104.4,10.21,11.47,25.99,165,15,15
15,DEN ,Christian,POULSEN,POUL,POULDEN ,3,270,34.47,127.7,12.96,14.14,27.11,146,25,22
100,DEN ,Simon,POULSEN,POUL,POULDEN ,3,270,30.95,114.6,11.11,12.47,26.61,161,17,17
225,DEN ,Dennis,ROMMEDAHL,ROMM,ROMMDEN ,3,270,26.94,99.8,9.92,10.39,26.39,167,12,15
30,ENG ,Gareth,BARRY,BARR,BARRENG ,3,264,32.76,124.1,12.98,13.33,23.21,148,22,22
106,ENG ,Ashley,COLE,COLE,COLEENG ,4,360,40.96,113.8,15.84,16.12,28.51,210,21,27
57,ENG ,Steven,GERRARD,GERR,GERRENG ,4,360,43.2,120,17.66,16.07,24.07,207,24,27
109,ENG ,Glen,JOHNSON,JOHN,JOHNENG ,4,357,40.33,113,15.79,15.66,26.7,209,23,26
72,ENG ,Frank,LAMPARD,LAMP,LAMPENG ,4,360,42.44,117.9,17.79,16.14,29.41,205,25,29
7,ENG ,James,MILNER,MILN,MILNENG ,3,185,24.1,130.3,10.31,8.81,22.71,108,15,19
141,ENG ,Wayne,ROONEY,ROON,ROONENG ,4,342,37.46,109.5,16.06,13.14,28.35,212,19,22
186,ENG ,John,TERRY,TERR,TERRENG ,4,360,37.75,104.9,13.7,15.38,22.53,222,19,19
87,FRA ,Abou,DIABY,DIAB,DIABFRA ,3,270,31.38,116.2,12.12,11.96,28.39,156,18,19
185,FRA ,William,GALLAS,GALL,GALLFRA ,3,270,28.32,104.9,10.29,11.26,22.52,167,16,13
136,FRA ,Franck,RIBERY,RIBE,RIBEFRA ,3,270,29.65,109.8,12.39,10.39,23.09,159,17,19
114,FRA ,Bakari,SAGNA,SAGN,SAGNFRA ,3,270,30.35,112.4,11.41,11.73,25.99,156,18,19
